state_abbr,year,ccd_frpl_share,ccd_ell_share,ccd_swd_share,f33_pp_expenditure_real,f33_teacher_salary_real,saipe_child_poverty_rate,acs_median_income_real,acs_ba_share,acs_white_share,acs_black_share,acs_hispanic_share,rucc_rural_share
AK,2012,0.135,,,,,0.135,69917,0.2747624250630666,0.6393813305134439,0.03192624789246547,0.05676949232147302,0.2824591520757686
AK,2013,0.125,,,,,0.125,70760,0.2750026964501509,0.6346881091076694,0.03302717140810422,0.05946279133047162,0.2824591520757686
AK,2014,0.141,,,,,0.141,71829,0.2768471429595563,0.6292516819991761,0.032660991349718525,0.06212687079500206,0.2824591520757686
AK,2015,0.133,,,,,0.133,72515,0.2797368874343295,0.6237872848133629,0.03239134140105676,0.06518902335094597,0.2824591520757686
AK,2016,0.12300000000000001,,,,,0.12300000000000001,74444,0.2879228551579672,0.6196266565335107,0.03122459642670539,0.06654090696269958,0.2824591520757686
AK,2017,0.133,,,,,0.133,76114,0.2898797329642732,0.6153798243891871,0.030510517016105555,0.06791819271154198,0.2824591520757686
AK,2018,0.132,,,,,0.132,76715,0.2923112991310937,0.6103510282783311,0.030895742272340748,0.06930926344182116,0.2824591520757686
AK,2019,0.11900000000000001,,,,,0.11900000000000001,77640,0.29551214558892686,0.606317191900883,0.031010707288879724,0.07037342551840536,0.2824591520757686
AK,2020,0.111,,,,,0.111,77790,0.29986802803266616,0.5969945318118292,0.03082809807460074,0.07199419259420073,0.2824591520757686
AK,2021,0.127,,,,,0.127,80287,0.30593828837570347,0.59041294868816,0.030962659198778178,0.07283637089969305,0.2824591520757686
AK,2022,0.11900000000000001,,,,,0.11900000000000001,86370,0.30748285038621365,0.5835461969649751,0.030483614376834632,0.07469846397966308,0.2824591520757686
AK,2023,0.11199999999999999,,,,,0.11199999999999999,89336,0.3124227561625979,0.5832710011703459,0.029702808421586138,0.0714919254302963,0.2824591520757686
AK,2024,0.121,,,,,0.121,92788,0.31669629315546566,0.5771109655215535,0.028777799827648543,0.07313111487469179,0.2824591520757686
AL,2012,0.258,,,,,0.258,43160,0.22264895667794332,0.6703421537487707,0.2615274737374004,0.03815272392966274,0.06116439791659659
AL,2013,0.256,,,,,0.256,43253,0.2263124041363614,0.6679095622111414,0.2616358672358357,0.039233826261747345,0.06116439791659659
AL,2014,0.259,,,,,0.259,43511,0.2305269085261142,0.6655878620364416,0.2621931146083238,0.03981959773982404,0.06116439791659659
AL,2015,0.252,,,,,0.252,43623,0.2351242579146255,0.6634736327841975,0.2629194596138798,0.040055313810649563,0.06116439791659659
AL,2016,0.235,,,,,0.235,44758,0.2401036607502036,0.6618935032979671,0.2635275318084659,0.039970345974645764,0.06116439791659659
AL,2017,0.228,,,,,0.228,46472,0.24524474331456309,0.6592929247742266,0.26407059826159596,0.040895560726325775,0.06116439791659659
AL,2018,0.228,,,,,0.228,48486,0.24927438470429017,0.6571305820732299,0.26430042674954984,0.04175937574516721,0.06116439791659659
AL,2019,0.207,,,,,0.207,50536,0.254683326121383,0.6552020507562164,0.2648600871571392,0.04278410663932325,0.06116439791659659
AL,2020,0.19699999999999998,,,,,0.19699999999999998,52035,0.26227345285863723,0.6523657592415248,0.2642347950803423,0.043519907070771476,0.06116439791659659
AL,2021,0.21600000000000003,,,,,0.21600000000000003,54943,0.2666893783853374,0.6485021535013782,0.2633852741524809,0.04495270300689821,0.06116439791659659
AL,2022,0.20600000000000002,,,,,0.20600000000000002,59609,0.27208387292476055,0.6458239029834776,0.26220443062696547,0.046221707956019896,0.06116439791659659
AL,2023,0.20199999999999999,,,,,0.20199999999999999,62027,0.2775513861604929,0.6382054875369317,0.2592383088064646,0.053744836279466024,0.06116439791659659
AL,2024,0.193,,,,,0.193,63999,0.2836978719557729,0.6339703324389868,0.2561372958232025,0.05585766836623962,0.06116439791659659
AR,2012,0.264,,,,,0.264,40531,0.19798348706090818,0.7449920654841015,0.15449160806646065,0.06351693131054612,0.22085628406082766
AR,2013,0.264,,,,,0.264,40768,0.20103596388223618,0.7418285936750542,0.15412278509795393,0.06554374850214889,0.22085628406082766
AR,2014,0.245,,,,,0.245,41264,0.2064608405390256,0.739112450611394,0.15452882150065353,0.06722313538076902,0.22085628406082766
AR,2015,0.245,,,,,0.245,41371,0.21097995099710048,0.7360226190991302,0.1543894141317987,0.06869902319241919,0.22085628406082766
AR,2016,0.223,,,,,0.223,42336,0.2150627966990121,0.7336771241231179,0.1542281685661849,0.06974935252884312,0.22085628406082766
AR,2017,0.212,,,,,0.212,43813,0.22028130145988709,0.7301433472221103,0.15354586923058325,0.07160846543789944,0.22085628406082766
AR,2018,0.221,,,,,0.221,45726,0.22588877045896402,0.7268766775081579,0.15332211400050358,0.07324510118297867,0.22085628406082766
AR,2019,0.19899999999999998,,,,,0.19899999999999998,47597,0.23027789777390476,0.7243031036517669,0.15233165631449272,0.07472569239540304,0.22085628406082766
AR,2020,0.193,,,,,0.193,49475,0.2381653724585809,0.715534486347864,0.15122981613102546,0.07624126249679186,0.22085628406082766
AR,2021,0.201,,,,,0.201,52123,0.24304726189710532,0.7064194000017963,0.15159719110710176,0.07850191048225581,0.22085628406082766
AR,2022,0.196,,,,,0.196,56335,0.2470555115616481,0.6969243729604008,0.15063857614067658,0.08060539264159138,0.22085628406082766
AR,2023,0.192,,,,,0.192,58773,0.2511137456642817,0.6836315817415192,0.1483606257363607,0.08765697074935427,0.22085628406082766
AR,2024,0.18600000000000003,,,,,0.18600000000000003,60773,0.2573160474210022,0.6739207927091015,0.1464564563875213,0.09036919175009042,0.22085628406082766
AZ,2012,0.253,,,,,0.253,50256,0.26629276703000393,0.5774363010703981,0.03844561025702939,0.2968261165728354,0.015957067480369857
AZ,2013,0.25,,,,,0.25,49774,0.26874444634942013,0.5734903281832516,0.0390067260798836,0.2987711010828737,0.015957067480369857
AZ,2014,0.24,,,,,0.24,49928,0.27097705924417054,0.5692058054876342,0.03926226804903013,0.3013062834869259,0.015957067480369857
AZ,2015,0.235,,,,,0.235,50255,0.27492006977729594,0.5650246434469027,0.039765411488953205,0.30333225533309005,0.015957067480369857
AZ,2016,0.226,,,,,0.226,51340,0.27956024307334426,0.5614673057914028,0.040134043201110726,0.3053913182534732,0.015957067480369857
AZ,2017,0.19699999999999998,,,,,0.19699999999999998,53510,0.2844568689211556,0.556012925799999,0.040550394966421176,0.3088898208590788,0.015957067480369857
AZ,2018,0.192,,,,,0.192,56213,0.2887549925203909,0.5507498900554725,0.04125910416263297,0.3114164525957345,0.015957067480369857
AZ,2019,0.18100000000000002,,,,,0.18100000000000002,58945,0.2946680550707317,0.5470699895139199,0.042141049620732396,0.3132722456168171,0.015957067480369857
AZ,2020,0.166,,,,,0.166,61529,0.3030707858101516,0.5413559176500238,0.0426498843612212,0.31511985396283054,0.015957067480369857
AZ,2021,0.16699999999999998,,,,,0.16699999999999998,65913,0.31206465266014843,0.5341936090828304,0.04236027699728345,0.3188818006772796,0.015957067480369857
AZ,2022,0.149,,,,,0.149,72581,0.31798873489201285,0.5299737238440987,0.04290489414666072,0.32033221783527194,0.015957067480369857
AZ,2023,0.15,,,,,0.15,76872,0.32610332196336617,0.5336872048347763,0.04387538825083326,0.31036264261661284,0.015957067480369857
AZ,2024,0.14300000000000002,,,,,0.14300000000000002,79964,0.3333559325364658,0.5257730282193483,0.04368181006277682,0.3135732211494547,0.015957067480369857
CA,2012,0.228,,,,,0.228,61400,0.3045344969342983,0.40127214235751696,0.057670464257426134,0.37572896049378934,0.0046516253398641615
CA,2013,0.225,,,,,0.225,61094,0.306727946543469,0.3966597149311346,0.057179708714323874,0.37893402408299853,0.0046516253398641615
CA,2014,0.21899999999999997,,,,,0.21899999999999997,61489,0.31001972744484346,0.39156309467642775,0.05663523605271979,0.3818131070231056,0.0046516253398641615
CA,2015,0.203,,,,,0.203,61818,0.314325308187258,0.38726421252454096,0.05623926771764866,0.3839178538329513,0.0046516253398641615
CA,2016,0.192,,,,,0.192,63783,0.3199638089892266,0.38384547337487673,0.05583772694748923,0.38557206426643453,0.0046516253398641615
CA,2017,0.174,,,,,0.174,67169,0.3257597120830642,0.3790793935599419,0.05544641211043411,0.3875001741150409,0.0046516253398641615
CA,2018,0.16899999999999998,,,,,0.16899999999999998,71228,0.3325365285365873,0.37538445662135916,0.05528959282490684,0.38881377085762103,0.0046516253398641615
CA,2019,0.152,,,,,0.152,75235,0.3392596343930537,0.3717925621540262,0.05521797104774048,0.39018135274463983,0.0046516253398641615
