source_column,db_column
s_Program_Type_Teacher_level,s_program_type_teacher_level
s_Race_Asian,s_race_asian
s_Race_Black,s_race_black
s_Race_Native_American,s_race_native_american
s_Race_Other,s_race_other
s_Race_Pacific_Islander,s_race_pacific_islander
s_Race_White,s_race_white
s_Region_State_Alabama,s_region_state_alabama
s_Region_State_Alaska,s_region_state_alaska
s_Region_State_Arizona,s_region_state_arizona
s_Region_State_Arkansas,s_region_state_arkansas
s_Region_State_California,s_region_state_california
s_Region_State_Colorado,s_region_state_colorado
s_Region_State_Connecticut,s_region_state_connecticut
s_Region_State_Delaware,s_region_state_delaware
s_Region_State_DC,s_region_state_dc
s_Region_State_Florida,s_region_state_florida
s_Region_State_Georgia,s_region_state_georgia
s_Region_State_Hawaii,s_region_state_hawaii
s_Region_State_Idaho,s_region_state_idaho
s_Region_State_Illinois,s_region_state_illinois
s_Region_State_Indiana,s_region_state_indiana
s_Region_State_Iowa,s_region_state_iowa
s_Region_State_Kansas,s_region_state_kansas
s_Region_State_Kentucky,s_region_state_kentucky
s_Region_State_Louisiana,s_region_state_louisiana
s_Region_State_Maine,s_region_state_maine
s_Region_State_Maryland,s_region_state_maryland
s_Region_State_Massachusetts,s_region_state_massachusetts
s_Region_State_Michigan,s_region_state_michigan
s_Region_State_Midwest,s_region_state_midwest
s_Region_State_Minnesota,s_region_state_minnesota
s_Region_State_Mississippi,s_region_state_mississippi
s_Region_State_Missouri,s_region_state_missouri
s_Region_State_Montana,s_region_state_montana
s_Region_State_Nebraska,s_region_state_nebraska
s_Region_State_Nevada,s_region_state_nevada
s_Region_State_New_Hampshire,s_region_state_new_hampshire
s_Region_State_New_Jersey,s_region_state_new_jersey
s_Region_State_New_Mexico,s_region_state_new_mexico
s_Region_State_New_York,s_region_state_new_york
s_Region_State_North_Carolina,s_region_state_north_carolina
s_Region_State_North_Dakota,s_region_state_north_dakota
s_Region_State_Northeast,s_region_state_northeast
s_Region_State_Ohio,s_region_state_ohio
s_Region_State_Oklahoma,s_region_state_oklahoma
s_Region_State_Oregon,s_region_state_oregon
s_Region_State_Pennsylvania,s_region_state_pennsylvania
s_Region_State_Rhode_Island,s_region_state_rhode_island
s_Region_State_South,s_region_state_south
s_Region_State_South_Carolina,s_region_state_south_carolina
s_Region_State_South_Dakota,s_region_state_south_dakota
s_Region_State_Tennessee,s_region_state_tennessee
s_Region_State_Texas,s_region_state_texas
s_Region_State_Utah,s_region_state_utah
s_Region_State_Vermont,s_region_state_vermont
s_Region_State_Virginia,s_region_state_virginia
s_Region_State_Washington,s_region_state_washington
s_Region_State_West,s_region_state_west
