subgroup_label,General Mathematics Achievement,College Enrollment,Reading achievement,Academic achievement,Comprehension,Alphabetics,College Degree Attainment,Progressing in College,Employment,Science Achievement,Intrapersonal Competencies,Access and enrollment,Student Behavior,Student Discipline
General/Mixed,1853.0,1551.0,240.0,815.0,739.0,611.0,772.0,692.0,619.0,357.0,448.0,402.0,389.0,357.0
High Poverty,962.0,2.0,939.0,218.0,163.0,169.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0
High EL,331.0,61.0,182.0,111.0,119.0,196.0,10.0,59.0,0.0,219.0,4.0,10.0,20.0,18.0
High Poverty + High EL,69.0,0.0,205.0,15.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
