state_abbr,f_Outcome_Domain,findings_n
FL,Earnings,5
FL,Educator discipline practice,1
FL,Employment,10
FL,English language arts achievement,1
FL,English language proficiency,6
FL,Expressive Communication,1
FL,External behavior,2
FL,Functional Skills,1
FL,General Literacy Achievement,5
FL,General Mathematics Achievement,67
FL,High School Completion,7
FL,Instructional practice,9
FL,"Knowledge, attitudes, & values",5
FL,Labor market outcomes,10
FL,Literacy Achievement,1
FL,Numbers and Operations,3
FL,Oral language,3
FL,Other academic performance,1
FL,Phonological processing,3
FL,Print knowledge,4
FL,Problem behavior,3
FL,Progress in developmental education,1
FL,Progressing in College,11
FL,Progressing in school,10
FL,Progressing in school (secondary school),1
FL,Reading Comprehension,1
FL,Reading achievement,2
FL,School engagement,8
FL,Social-emotional competence,14
FL,Staying in School,2
FL,Staying in Secondary School,1
FL,Student Behavior,4
FL,Teacher instruction,9
FL,Teacher retention,1
FL,Teacher retention in the school district,1
FL,Vocabulary,1
FL,Word reading ,2
GA,Academic achievement,22
GA,Access and enrollment,29
GA,Alphabetics,28
GA,Cognition,4
GA,College Degree Attainment,22
GA,College Enrollment,31
GA,College Readiness,1
GA,Completing school,5
GA,Comprehension,13
GA,Credit accumulation,13
GA,Earnings,11
GA,Earnings (short-run),3
GA,Employment,20
GA,Employment (short-run),2
GA,English language arts achievement,16
GA,Expressive Communication,1
GA,Functional Skills,1
GA,General Literacy Achievement,1
GA,General Mathematics Achievement,130
GA,General academic achievement (college),4
GA,High School Completion,9
GA,"Industry-Recognized Credential, Certificate, or License",3
GA,"Industry-recognized credential, certificate, or license (short-run)",1
GA,"Industry-recognized credential, certificate, or license completion",2
GA,Intrapersonal Competencies,19
GA,Oral language,2
GA,Phonological processing,1
GA,Print knowledge,3
GA,Progressing in College,10
GA,Progressing in school (secondary school),4
GA,Reading Comprehension,1
GA,Reading Fluency,4
GA,Reading achievement,102
GA,Reading and listening comprehension,1
GA,Science Achievement,4
GA,Short-Term Earnings,6
GA,Short-Term Employment,4
GA,Social Studies Achievement,4
GA,Student Behavior,5
GA,Student Discipline,12
GA,Student emotional status,4
GA,Student engagement in school,4
GA,Student progression,2
GA,Vocabulary,1
GA,Word reading ,3
GA,Writing Quality,1
HI,Academic achievement,4
IA,Academic achievement,6
IA,College Degree Attainment,22
IA,College Enrollment,25
IA,Earnings,11
IA,Employment,20
IA,General Mathematics Achievement,17
IA,High School Completion,9
IA,"Industry-Recognized Credential, Certificate, or License",3
IA,Intrapersonal Competencies,12
IA,Progressing in College,4
IA,Progressing in school (secondary school),4
IA,Student Discipline,12
ID,Academic achievement,4
ID,Comprehension,2
ID,General Mathematics Achievement,17
ID,Writing Conventions,1
ID,Writing Quality,3
IL,Academic achievement,13
IL,Alphabetics,15
IL,Behavior,2
IL,College Degree Attainment,22
IL,College Enrollment,25
IL,College Readiness,1
IL,Completing school,6
IL,Compliant Student Behavior,2
IL,Comprehension,13
IL,Credit accumulation,15
IL,Earnings,11
IL,Earnings (long-run),5
IL,Earnings (short-run),2
IL,Employment,21
IL,Employment (long-run),5
IL,Employment (short-run),2
IL,English language arts achievement,8
IL,English language proficiency,9
IL,External behavior,2
IL,General Literacy Achievement,14
IL,General Mathematics Achievement,139
IL,High School Completion,9
IL,"Industry-Recognized Credential, Certificate, or License",4
