state_abbr,f_Outcome_Domain,findings_n
PA,Self-regulation,2
PA,Short-Term Earnings,2
PA,Short-Term Employment,2
PA,Social Studies Achievement,3
PA,Social outcomes,6
PA,Staying in School,2
PA,Staying in Secondary School,1
PA,Student Behavior,4
PA,Student Discipline,12
PA,Student progression,2
PA,Teacher instruction,2
PA,Vocabulary,1
PA,Word reading ,2
RI,Academic achievement,4
RI,Comprehension,2
RI,Credit accumulation,1
RI,"Industry-recognized credential, certificate, or license completion",1
RI,Medium-Term Earnings,1
RI,Medium-Term Employment,2
RI,Short-Term Earnings,3
RI,Short-Term Employment,8
SC,Academic achievement,4
SC,Alphabetics,1
SC,College Degree Attainment,22
SC,College Enrollment,31
SC,Comprehension,6
SC,Earnings,11
SC,Employment,20
SC,English language arts achievement,4
SC,General Literacy Achievement,1
SC,General Mathematics Achievement,73
SC,High School Completion,9
SC,"Industry-Recognized Credential, Certificate, or License",3
SC,Intrapersonal Competencies,12
SC,"Knowledge, attitudes, & values",1
SC,Literacy Achievement,1
SC,Postsecondary degree attainment,3
SC,Progressing in school,1
SC,Progressing in school (secondary school),4
SC,Reading and listening comprehension,1
SC,Student Discipline,12
SC,Word reading ,1
SC,Writing Conventions,1
SC,Writing Quality,3
SD,Academic achievement,4
SD,College Degree Attainment,2
SD,College Enrollment,5
SD,Comprehension,6
SD,High School Completion,1
SD,Literacy Achievement,2
TN,Academic achievement,10
TN,Access and enrollment,5
TN,Algebra and Algebraic Reasoning,8
TN,Alphabetics,4
TN,Attainment,3
TN,Behavior,4
TN,Completing school,4
TN,Credit accumulation,5
TN,Emotional/internal behavior,2
TN,English language arts achievement,17
TN,External behavior,11
TN,General Literacy Achievement,2
TN,General Mathematics Achievement,39
TN,Graduating school,1
TN,"Knowledge, attitudes, & values",5
TN,Labor market outcomes,5
TN,Language,5
TN,Literacy Achievement,9
TN,Mathematics,1
TN,Progressing in school,1
TN,Progressing in school (secondary school),3
TN,Reading achievement,6
TN,Reading and listening comprehension,1
TN,School Attendance,1
TN,School engagement,1
TN,School leader retention at the school,1
TN,Science Achievement,4
TN,Secondary school academic achievement,1
TN,Self-regulation,2
TN,Social Studies Achievement,4
TN,Social outcomes,6
TN,Student Behavior,5
TN,Student Discipline,1
TN,Student engagement in school,1
TN,Student progression,2
TN,Teacher Practice,2
TN,Teacher and leader effectiveness,8
TN,Teacher instruction,3
TN,Whole Numbers Computation,21
TN,Whole Numbers Magnitude Understanding/Relative Magnitude Understanding,3
TN,Whole Numbers Word Problems/Problem Solving,21
TN,Word reading ,1
TN,Writing Conventions,1
TN,Writing Quality,3
TX,Academic achievement,35
TX,Access and enrollment,24
TX,Algebra,6
TX,Algebra and Algebraic Reasoning,8
TX,Alphabetics,15
TX,Attainment,14
TX,Cognition,6
TX,College Degree Attainment,4
TX,College Enrollment,17
TX,College Readiness,9
TX,Completing school,13
TX,Comprehension,33
TX,Credit accumulation,5
TX,Credit accumulation and persistence,9
TX,Earnings,5
TX,Earnings (short-run),3
TX,Employment,10
TX,Employment (short-run),2
TX,Encoding,1
TX,English language arts achievement,17
TX,English language proficiency,9
TX,General Literacy Achievement,23
TX,General Mathematics Achievement,210
TX,General academic achievement (college),4
TX,Graduating school,1
TX,High School Completion,7
TX,"Industry-recognized credential, certificate, or license (short-run)",1
TX,"Industry-recognized credential, certificate, or license completion",5
TX,Instructional practice,1
TX,Intrapersonal Competencies,9
TX,Labor market outcomes,15
TX,Letter identification,2
TX,Literacy Achievement,1
TX,Phonology,3
TX,Postsecondary degree attainment,9
TX,Proficiency in a Language Other Than English,11
TX,Progress in developmental education,7
TX,Progressing in College,33
TX,Progressing in school,13
TX,Progressing in school (secondary school),4
TX,Progressing in secondary school or adult education,2
TX,Reading & Literacy Related,4
TX,Reading Comprehension,7
TX,Reading Fluency,13
TX,Reading achievement,144
TX,School Attendance,1
TX,Science Achievement,129
TX,Secondary school academic achievement,3
TX,Self-regulation,16
TX,Short-Term Earnings,11
TX,Short-Term Employment,7
TX,Social Studies Achievement,6
TX,Social-Emotional Learning,8
TX,Social-emotional development,16
TX,Staying in School,2
TX,Staying in Secondary School,7
TX,Student Behavior,3
TX,Student Discipline,1
TX,Student emotional status,5
TX,Student engagement in school,4
TX,Student progression,2
TX,Teacher Retention in the School,5
TX,Teacher retention in the profession,5
TX,Teacher retention in the school district,5
TX,Whole Numbers Computation,21
TX,Whole Numbers Magnitude Understanding/Relative Magnitude Understanding,3
TX,Whole Numbers Word Problems/Problem Solving,21
TX,Word reading ,7
TX,Writing Conventions,1
TX,Writing Quality,4
UT,Academic achievement,2
UT,College Enrollment,6
UT,Comprehension,6
UT,General Mathematics Achievement,1
UT,Literacy Achievement,1
UT,Postsecondary degree attainment,3
UT,School engagement,1
UT,Student Behavior,5
UT,Teacher Practice,2
VA,Academic achievement,11
VA,Alphabetics,2
VA,Cognition,9
VA,College Enrollment,6
VA,Comprehension,10
VA,Earth/Space Sciences,1
VA,Employment,1
VA,English language development,5
VA,English language proficiency,1
VA,Expressive Communication,4
VA,Functional Skills,16
VA,General Literacy Achievement,2
VA,General Mathematics Achievement,20
VA,General science achievement ,1
VA,General social studies achievement ,3
VA,Geometry and Measurement,1
VA,"Industry-Recognized Credential, Certificate, or License",1
VA,Instructional practice,1
VA,Language,1
VA,Language development,1
VA,Life sciences,8
VA,Literacy Achievement,1
VA,Number and Operations,2
VA,Physical sciences,2
VA,Progressing in school,20
VA,Reading & Literacy Related,1
VA,Reading achievement,3
VA,Receptive Communication,4
VA,School Attendance,3
VA,Science Achievement,1
VA,Secondary school academic achievement,4
VA,Social Studies Achievement,2
VA,Staying in Secondary School,1
VA,Student Discipline,1
VA,Writing Conventions,1
VA,Writing Quality,3
VT,College Enrollment,1
VT,Completing school,1
VT,General Literacy Achievement,1
VT,General Mathematics Achievement,4
WA,Academic achievement,4
WA,Access and enrollment,2
WA,Attainment,3
WA,Cognition,10
WA,College Degree Attainment,22
WA,College Enrollment,25
WA,Completing school,5
WA,Comprehension,4
WA,Credit accumulation,6
WA,Earnings,11
WA,Emotional/internal behavior,2
WA,Employment,20
WA,Expressive Communication,4
WA,External behavior,11
WA,Functional Skills,16
WA,General Literacy Achievement,4
WA,General Mathematics Achievement,14
WA,Graduating school,1
WA,High School Completion,9
WA,"Industry-Recognized Credential, Certificate, or License",3
WA,Intrapersonal Competencies,12
WA,Labor market outcomes,5
WA,Literacy Achievement,5
WA,Problem behavior,5
WA,Progressing in school,3
WA,Progressing in school (secondary school),4
WA,Reading Comprehension,1
WA,Reading achievement,2
WA,Receptive Communication,4
WA,School engagement,8
WA,Science Achievement,10
WA,Self-care/daily living,1
WA,Short-Term Employment,2
WA,Social outcomes,7
WA,Social-emotional competence,15
WA,Staying in School,2
WA,Student Discipline,12
WA,Word reading ,2
WA,Writing Conventions,1
WA,Writing Quality,3
WI,Academic achievement,22
WI,Access and enrollment,5
WI,Alphabetics,4
WI,College Degree Attainment,22
WI,College Enrollment,25
WI,Completing school,6
WI,Comprehension,3
WI,Earnings,11
WI,Earth/Space Sciences,1
WI,Employment,20
WI,General Literacy Achievement,7
WI,General Mathematics Achievement,22
WI,General academic achievement (high school),5
WI,High School Completion,9
WI,"Industry-Recognized Credential, Certificate, or License",3
WI,Intrapersonal Competencies,14
WI,Literacy Achievement,9
WI,Physical sciences,1
WI,Progressing in College,3
WI,Progressing in school (secondary school),7
WI,Reading Comprehension,6
WI,Reading Fluency,2
WI,Reading achievement,3
WI,School Attendance,1
WI,School Climate,8
WI,Science Achievement,3
WI,Student Behavior,2
WI,Student Discipline,13
WI,Writing Conventions,1
WI,Writing Quality,3
WV,Academic achievement,6
WV,College Degree Attainment,22
WV,College Enrollment,25
WV,Comprehension,3
WV,Earnings,11
WV,Earth/Space Sciences,1
WV,Employment,20
WV,External behavior,2
WV,General Literacy Achievement,1
WV,General Mathematics Achievement,1
WV,General science achievement ,1
WV,Geometry and Measurement,1
WV,High School Completion,9
WV,"Industry-Recognized Credential, Certificate, or License",3
WV,Intrapersonal Competencies,12
WV,"Knowledge, attitudes, & values",1
WV,Life sciences,4
WV,Number and Operations,2
WV,Other academic performance,1
WV,Physical sciences,2
WV,Progressing in school (secondary school),7
WV,School Attendance,1
WV,Student Discipline,13
WY,General Mathematics Achievement,2
