f_FindingID,s_StudyID,state_abbr,region_name,analysis_year,saipe_child_poverty_rate_state,saipe_median_income_state,saipe_child_poverty_rate_region,saipe_median_income_region,saipe_child_poverty_rate_ctx,saipe_median_income_ctx
3776,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3777,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
1214,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3766,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3767,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3768,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
3769,25407,CA,West,2009,0.1989999999999999,58925.0,0.1771538461538461,53170.53846153846,0.1989999999999999,58925.0
1079,30030,,,2001,,,,,,
1077,30030,,,2001,,,,,,
1358,29841,NJ,Northeast,1998,0.132,49615.0,0.14922222222222223,42290.666666666664,0.132,49615.0
1356,29841,NJ,Northeast,1998,0.132,49615.0,0.14922222222222223,42290.666666666664,0.132,49615.0
1550,30012,CA,Midwest,1997,0.246,39595.0,0.15741666666666665,36688.583333333336,0.246,39595.0
1414,30518,CA,Northeast,1992,,,,,,
1415,30518,CA,Northeast,1992,,,,,,
1411,30518,CA,Northeast,1992,,,,,,
1412,30518,CA,Northeast,1992,,,,,,
1206,30135,AZ,Midwest,1993,0.28,28427.0,0.18008333333333335,30304.5,0.28,28427.0
3752,30135,AZ,Midwest,1993,0.28,28427.0,0.18008333333333335,30304.5,0.28,28427.0
3753,30135,AZ,Midwest,1993,0.28,28427.0,0.18008333333333335,30304.5,0.28,28427.0
3754,30135,AZ,Midwest,1993,0.28,28427.0,0.18008333333333335,30304.5,0.28,28427.0
1393,29836,KS,Midwest,1997,0.154,36488.0,0.15741666666666665,36688.583333333336,0.154,36488.0
1391,29836,KS,Midwest,1997,0.154,36488.0,0.15741666666666665,36688.583333333336,0.154,36488.0
1387,29836,KS,Midwest,1997,0.154,36488.0,0.15741666666666665,36688.583333333336,0.154,36488.0
1388,29836,KS,Midwest,1997,0.154,36488.0,0.15741666666666665,36688.583333333336,0.154,36488.0
1389,29836,KS,Midwest,1997,0.154,36488.0,0.15741666666666665,36688.583333333336,0.154,36488.0
1397,65306,OH,Midwest,1997,0.16,36029.0,0.15741666666666665,36688.583333333336,0.16,36029.0
1395,65306,OH,Midwest,1997,0.16,36029.0,0.15741666666666665,36688.583333333336,0.16,36029.0
1799,30010,TX,South,2005,0.247,42165.0,0.22158823529411764,42069.82352941176,0.247,42165.0
1405,65307,CA,West,1997,0.246,39595.0,0.18123076923076922,37458.692307692305,0.246,39595.0
1403,65307,CA,West,1997,0.246,39595.0,0.18123076923076922,37458.692307692305,0.246,39595.0
