state_abbr,topic,findings_n
NE,Literacy,21
NE,Postsecondary,20
NE,STEM,3
NE,SWD,33
NE,Teachers And School Leaders,10
NH,Early Childhood,11
NH,High School Completion,10
NH,K to 12th Grade,8
NH,Literacy,11
NH,Postsecondary,10
NH,STEM,9
NH,Teachers And School Leaders,4
NJ,Early Childhood,38
NJ,High School Completion,133
NJ,K to 12th Grade,99
NJ,Literacy,117
NJ,Postsecondary,11
NJ,STEM,77
NJ,Social Emotional Learning And Behavior,130
NJ,Teachers And School Leaders,22
NM,High School Completion,23
NM,K to 12th Grade,124
NM,Literacy,67
NM,Postsecondary,35
NM,STEM,146
NM,SWD,10
NM,Social Emotional Learning And Behavior,10
NM,Teachers And School Leaders,10
NV,Early Childhood,5
NV,High School Completion,6
NV,K to 12th Grade,57
NV,Literacy,5
NV,STEM,58
NV,SWD,5
NV,Teachers And School Leaders,4
NY,ELL,9
NY,Early Childhood,59
NY,High School Completion,663
NY,K to 12th Grade,276
NY,Literacy,327
NY,Postsecondary,639
NY,STEM,282
NY,SWD,5
NY,Social Emotional Learning And Behavior,208
NY,Teachers And School Leaders,61
OH,Early Childhood,6
OH,High School Completion,287
OH,K to 12th Grade,163
OH,Literacy,89
OH,Postsecondary,318
OH,STEM,91
OH,SWD,5
OH,Social Emotional Learning And Behavior,134
OH,Teachers And School Leaders,32
OK,High School Completion,118
OK,K to 12th Grade,30
OK,Literacy,9
OK,STEM,22
OK,Social Emotional Learning And Behavior,118
OK,Teachers And School Leaders,4
OR,ELL,8
OR,Early Childhood,58
OR,High School Completion,129
OR,K to 12th Grade,119
OR,Literacy,123
OR,Postsecondary,13
OR,STEM,104
OR,SWD,58
OR,Social Emotional Learning And Behavior,200
OR,Teachers And School Leaders,29
PA,Early Childhood,47
PA,High School Completion,293
PA,K to 12th Grade,428
PA,Literacy,367
PA,Postsecondary,169
PA,STEM,119
PA,SWD,54
PA,Social Emotional Learning And Behavior,269
PA,Teachers And School Leaders,36
RI,High School Completion,7
RI,K to 12th Grade,8
RI,Literacy,2
RI,Postsecondary,9
RI,Teachers And School Leaders,4
SC,High School Completion,128
SC,K to 12th Grade,138
SC,Literacy,61
SC,Postsecondary,9
SC,STEM,112
SC,SWD,4
SC,Social Emotional Learning And Behavior,128
SC,Teachers And School Leaders,46
SD,High School Completion,8
SD,K to 12th Grade,5
SD,Literacy,8
SD,Postsecondary,8
SD,Teachers And School Leaders,4
TN,Early Childhood,44
TN,High School Completion,138
TN,K to 12th Grade,179
TN,Literacy,196
TN,Postsecondary,128
TN,STEM,335
TN,SWD,38
TN,Social Emotional Learning And Behavior,106
TN,Teachers And School Leaders,42
TX,ELL,97
TX,Early Childhood,20
TX,High School Completion,367
TX,K to 12th Grade,697
TX,Literacy,627
TX,Postsecondary,448
TX,STEM,647
TX,SWD,8
TX,Social Emotional Learning And Behavior,207
TX,Teachers And School Leaders,67
UT,Early Childhood,23
UT,High School Completion,9
UT,K to 12th Grade,27
UT,Literacy,41
UT,Postsecondary,12
UT,STEM,10
UT,SWD,2
UT,Social Emotional Learning And Behavior,28
UT,Teachers And School Leaders,6
VA,ELL,8
VA,Early Childhood,44
VA,High School Completion,7
VA,K to 12th Grade,98
VA,Literacy,120
VA,Postsecondary,18
VA,STEM,104
VA,SWD,39
VA,Social Emotional Learning And Behavior,22
VA,Teachers And School Leaders,16
VT,High School Completion,4
VT,K to 12th Grade,4
VT,Postsecondary,4
VT,STEM,3
VT,SWD,24
WA,ELL,13
WA,Early Childhood,104
WA,High School Completion,216
WA,K to 12th Grade,167
WA,Literacy,154
WA,Postsecondary,89
WA,STEM,81
WA,SWD,107
WA,Social Emotional Learning And Behavior,179
WA,Teachers And School Leaders,65
WI,Early Childhood,6
WI,High School Completion,172
WI,K to 12th Grade,91
WI,Literacy,96
WI,Postsecondary,71
WI,STEM,57
WI,SWD,14
WI,Social Emotional Learning And Behavior,159
WI,Teachers And School Leaders,9
WV,Early Childhood,7
WV,High School Completion,118
WV,K to 12th Grade,13
WV,Literacy,3
WV,STEM,13
WV,Social Emotional Learning And Behavior,131
WV,Teachers And School Leaders,4
WY,K to 12th Grade,2
WY,Literacy,12
WY,STEM,2
