state_abbr,topic,findings_n
NJ,Literacy,33
NJ,Postsecondary,3
NJ,STEM,53
NJ,Social Emotional Learning And Behavior,130
NJ,Teachers And School Leaders,22
NM,High School Completion,16
NM,K to 12th Grade,97
NM,Literacy,48
NM,Postsecondary,15
NM,STEM,136
NM,Teachers And School Leaders,10
NV,K to 12th Grade,51
NV,STEM,58
NV,Teachers And School Leaders,4
NY,ELL,9
NY,Early Childhood,21
NY,High School Completion,268
NY,K to 12th Grade,181
NY,Literacy,209
NY,Postsecondary,176
NY,STEM,215
NY,Social Emotional Learning And Behavior,174
NY,Teachers And School Leaders,28
OH,Early Childhood,6
OH,High School Completion,240
OH,K to 12th Grade,107
OH,Literacy,57
OH,Postsecondary,118
OH,STEM,49
OH,SWD,5
OH,Social Emotional Learning And Behavior,132
OH,Teachers And School Leaders,32
OK,High School Completion,118
OK,K to 12th Grade,17
OK,Literacy,9
OK,STEM,9
OK,Social Emotional Learning And Behavior,118
OK,Teachers And School Leaders,4
OR,ELL,5
OR,Early Childhood,48
OR,High School Completion,123
OR,K to 12th Grade,59
OR,Literacy,24
OR,Postsecondary,7
OR,STEM,16
OR,SWD,39
OR,Social Emotional Learning And Behavior,175
OR,Teachers And School Leaders,29
PA,Early Childhood,44
PA,High School Completion,245
PA,K to 12th Grade,174
PA,Literacy,84
PA,Postsecondary,157
PA,STEM,63
PA,SWD,54
PA,Social Emotional Learning And Behavior,157
PA,Teachers And School Leaders,7
RI,K to 12th Grade,4
RI,Literacy,2
RI,Postsecondary,2
RI,Teachers And School Leaders,4
SC,High School Completion,128
SC,K to 12th Grade,89
SC,Literacy,19
SC,Postsecondary,9
SC,STEM,73
SC,SWD,4
SC,Social Emotional Learning And Behavior,119
SC,Teachers And School Leaders,8
SD,High School Completion,8
SD,K to 12th Grade,5
SD,Literacy,8
SD,Postsecondary,8
SD,Teachers And School Leaders,4
TN,Early Childhood,1
TN,High School Completion,37
TN,K to 12th Grade,117
TN,Literacy,100
TN,Postsecondary,10
TN,STEM,131
TN,SWD,25
TN,Social Emotional Learning And Behavior,61
TN,Teachers And School Leaders,38
TX,ELL,40
TX,High School Completion,208
TX,K to 12th Grade,420
TX,Literacy,299
TX,Postsecondary,212
TX,STEM,427
TX,Social Emotional Learning And Behavior,107
TX,Teachers And School Leaders,37
UT,High School Completion,9
UT,K to 12th Grade,13
UT,Literacy,7
UT,Postsecondary,9
UT,STEM,1
UT,Social Emotional Learning And Behavior,8
UT,Teachers And School Leaders,6
VA,ELL,8
VA,Early Childhood,42
VA,High School Completion,7
VA,K to 12th Grade,67
VA,Literacy,61
VA,Postsecondary,18
VA,STEM,72
VA,SWD,39
VA,Teachers And School Leaders,10
VT,High School Completion,4
VT,K to 12th Grade,4
VT,Postsecondary,4
VT,STEM,3
WA,Early Childhood,63
WA,High School Completion,148
WA,K to 12th Grade,85
WA,Literacy,41
WA,Postsecondary,9
WA,STEM,31
WA,SWD,84
WA,Social Emotional Learning And Behavior,165
WA,Teachers And School Leaders,29
WI,High School Completion,137
WI,K to 12th Grade,47
WI,Literacy,54
WI,Postsecondary,18
WI,STEM,53
WI,SWD,8
WI,Social Emotional Learning And Behavior,153
WI,Teachers And School Leaders,9
WV,Early Childhood,7
WV,High School Completion,118
WV,K to 12th Grade,12
WV,Literacy,3
WV,STEM,11
WV,Social Emotional Learning And Behavior,131
WV,Teachers And School Leaders,4
WY,K to 12th Grade,2
WY,STEM,2
