state_combo,findings_n,studies_n,interventions_n,mean_effect_size_wwc,median_effect_size_wwc,pct_positive_effect_size,mean_improvement_index
AK | CA | CO | GA | IA | ID | KY | MI | OH | SC | TX,9,1,1,0.3750378161015652,0.289480191481847,77.77777777777779,13.0
AZ | CA | DC | IL | MA | MD | ME | MN | NY | TN | TX | WI | WV,9,1,0,0.11986484868768077,0.104636665302895,100.0,4.777777777777778
CA | IL | MI | WA,9,1,1,0.003192531396614089,-0.0079294074023467,44.44444444444444,0.2222222222222222
NC | OH | SC | TX | UT,9,1,0,0.544690441264266,0.474139628212296,100.0,19.333333333333332
MD | NY,9,2,1,0.14032134158796683,0.1264856576979925,100.0,5.222222222222222
CA | IL | LA | MD | MS | TX,8,2,1,0.09274873159973476,0.0927487315997348,100.0,1.75
CO | IN,8,3,0,1.3021802342222053,1.2979025041077201,100.0,33.857142857142854
NE | SD,8,1,0,0.23041798564215277,0.26493003224503997,87.5,9.125
CA | NC | WI,8,1,0,0.7166821692698383,0.7549013826619271,100.0,25.875
DC | NY,8,1,0,0.11493835487594682,0.0999650471862983,83.33333333333334,3.375
FL | LA,8,1,1,0.36373145208230023,0.3821166141590635,100.0,11.125
AL | AR | CA | GA | IA | ID | IL | IN | KS | MA | MI | MN | MO | MT | NM | OH | OK | OR | PA | TN | TX | VA | WA | WI,8,1,1,0.2946,0.249,100.0,11.6
MO | TN | UT,8,2,0,0.8800893321658533,0.668845301314765,100.0,25.0
DC | DE | MD | NJ | NY | PA | VA | WV,7,2,0,0.11884447879211021,0.103420125563763,71.42857142857143,4.571428571428571
IL | IN | VA,7,1,0,0.0034404647697599713,0.0073507342100692,57.14285714285714,0.2857142857142857
CA | FL | MD | NY | TX,7,1,0,0.0267494280005808,0.0164992902983692,85.71428571428571,1.1428571428571428
CA | FL | GA,7,1,0,0.22740066406450785,0.259205392002294,85.71428571428571,8.857142857142858
PA | TN,7,2,0,0.1257891649150513,0.223160674680476,57.14285714285714,5.0
DC | MD | PA | VA,7,1,0,,,,5.571428571428571
NM | OR,7,1,0,0.24952666508424354,0.132375059046868,85.71428571428571,9.571428571428571
FL | MD | NE | NY | SC | SD | TX | UT | VA,7,1,1,0.04607932929627497,0.0417442521507802,100.0,1.7142857142857142
IL | PA,7,1,1,0.09188581215146151,0.10074104966565,57.14285714285714,1.8571428571428572
DC | OH,7,1,1,0.45525812958537654,0.484304176259957,100.0,16.857142857142858
CA | KY | ME | MN | TX,7,1,0,0.12346289954849014,0.099841484536682,100.0,3.4285714285714284
CA | ME,7,1,0,0.24363121583570924,0.287060248933453,85.71428571428571,9.285714285714286
FL | TN,7,1,0,0.2283508693914756,0.30366040198666,85.71428571428571,8.857142857142858
AZ | CA,7,3,0,0.21488975243589334,0.234734098287728,100.0,5.428571428571429
CA | FL,7,1,1,0.17655147310556712,0.151966760767822,85.71428571428571,7.142857142857143
NC | NE | NM | TX,6,1,0,0.41,0.41,100.0,12.666666666666666
AR | CA | CO | DC | GA | IN | LA | MA | NC | NY | OK | PA | TN | TX,6,1,0,,,,4.833333333333333
CA | GA | IL | LA | NJ | TX | WI,6,1,0,-0.027289559475774217,-0.019219908554616052,0.0,-1.0
CA | GA | MA | NC | NY | PA | TX,6,1,1,0.14412486355040896,0.159236560992993,100.0,5.666666666666667
CA | MA | VA,6,1,1,0.42597808017449806,0.4391422737381395,83.33333333333334,16.0
CA | ME | MN,6,1,0,0.199745470330223,0.199745470330223,100.0,5.666666666666667
AL | CT | KY | LA | MI | NJ | TX,6,3,1,0.07118220383737028,0.07118220383737028,50.0,1.6666666666666667
AZ | CA | FL | GA | IA | IN | KS | MI | OH | OR | TX,6,1,0,-0.004047550582012884,-0.00187927690648105,33.33333333333333,-0.16666666666666666
CO | FL | NJ | TX,5,1,0,0.012498808031651251,0.012498808031651251,100.0,1.0
CA | WI,5,1,0,0.09659737828616281,0.0639904591848764,100.0,3.8
AL | AR | CT | KY | MA | VA,5,1,0,,,,27.8
OR | WA,5,1,0,-0.023703267353247084,-0.0017308633488321,40.0,-0.8
NJ | NY,4,1,0,-0.005574674608622987,-0.005895788947564498,50.0,15.0
MA | ME | NH | VT,4,1,0,,,,
GA | OH | SC | TN,4,1,0,0.2186632496155815,0.21866324961558148,100.0,8.5
OH | VA,4,1,1,0.15483261940993776,0.1546986346599848,100.0,6.0
OH | PA | TX,4,1,0,5.966502660616145,5.966502660616145,100.0,31.25
KS | MO,4,1,1,0.4033177938130863,0.374808111244377,100.0,15.5
MA | NY | TX,4,1,0,,,,3.75
AK | AL | AR | AZ | CA | CO | DC | FL | GA | HI | IA | ID | IL | IN | KS | KY | LA | MA | MD | ME | MI | MN | MO | MT | NC | NE | NH | NJ | NM | NV | NY | OH | OR | PA | RI | SC | SD | TN | TX | VA | WA | WI | WV,4,1,0,0.3851747268965773,0.3643533198634125,100.0,14.75
AZ | LA | MO | OH | PA,4,1,0,-0.06418949516054939,-0.05193877956736865,25.0,-2.5
AL | AR | AZ | LA | MO | MS | NY | OK | SC | TN,4,1,0,0.16744942123804749,0.17494715651736298,100.0,6.75
AL | CA | ID | KY | MI | MO | MS | NE | OH | OK | SC | TN | TX | VA | WA | WI,4,1,0,0.1609487213294015,0.1626821682075555,100.0,6.5
CA | WA,4,1,0,0.06508510785688593,0.0682311958154458,50.0,2.75
CA | IN | KY,4,1,1,0.19818594924939537,0.19754399808923212,100.0,8.0
AZ | CA | CO | CT | GA | IL | NY | PA | TX,4,1,1,,,,13.75
DC | MD | NJ | NY | PA | VA | WV,4,1,0,0.07801682713820378,0.029067396760516548,50.0,3.0
CA | MA | OR | WA,4,1,1,,,,-0.75
CA | DC | IL | MD | NC | NY | TN,4,1,0,0.2155322373525775,0.0887016759776536,100.0,8.333333333333334
FL | LA | MA | NY,4,1,1,0.0839547112438706,0.0593227093463462,75.0,3.5
CA | CO | IL,4,1,1,-0.005002166902768201,0.00555938059925145,50.0,0.0
MO | TN,3,1,1,0.10440974808460513,0.0854826225064468,66.66666666666666,4.0
CA | FL | GA | MA | OH | TX,3,1,1,0.34881339986456966,0.237108477373884,100.0,13.0
CA | NJ | SC,3,1,1,,,,0.0
MN | TN | TX,3,1,1,0.8575365752542133,0.893101290731852,100.0,30.0
ME | VT,3,1,0,0.35855162842821636,0.402326560994396,100.0,15.666666666666666
CA | FL | IL | OR | WV,3,1,0,0.22198067330319501,0.204961666090053,100.0,9.0
MA | TX,3,1,0,0.3463489920090783,0.443269701419482,100.0,13.333333333333334
CA | DC | GA | IL | MA | NY | RI | WA,3,1,1,1.0003193162786483,1.0003193162786483,100.0,34.0
MN | VA,3,1,0,0.15225134074490868,0.270864406178889,66.66666666666666,5.666666666666667
CT | MA | NJ | NY,3,1,0,0.6756210000585331,0.801955310675547,100.0,24.333333333333332
FL | PA,3,1,0,0.681465824668987,0.532111515358231,100.0,23.666666666666668
FL | WV,3,1,0,0.12957505240926134,0.134322362535544,100.0,5.0
CO | FL | GA | MA | MS | OR | PA | TX | WA,3,1,0,,,,
DC | IL | LA | MD | NC | TN | TX,3,1,0,-0.0033333112598135997,0.014,66.66666666666666,0.0
IL | MN,3,1,0,0.0743943710415806,0.0784232119060864,100.0,3.0
CO | FL | IL | MD | MI | MS | NM | OH | VA | WA,3,1,1,0.19659720964456398,0.167228420541107,100.0,7.666666666666667
KY | NC | NY,2,1,0,0.10251965598904345,0.10251965598904345,50.0,4.0
CT | KY | LA | MI | NJ | TX,2,1,1,,,,0.0
AZ | MA | OR | SC,2,1,1,0.11467330185640134,0.11467330185640134,50.0,4.5
AZ | CA | CO | UT,2,1,0,-0.1078970450789562,-0.1078970450789562,0.0,-4.5
FL | KS,2,1,0,0.181853768275424,0.181853768275424,100.0,7.0
NJ | OH,2,1,1,0.06644074410793266,0.06644074410793266,50.0,2.5
FL | GA | ID | IN | NC | TX,2,1,1,0.225892052244969,0.225892052244969,100.0,8.0
DC | IL | MD | NC | TN | TX,2,1,0,0.0139964582592948,0.0139964582592948,100.0,-0.5
CT | MA | RI,2,1,0,-0.004430777047027599,-0.004430777047027599,50.0,-0.5
MN | PA | TX,2,1,0,0.158377744377868,0.158377744377868,100.0,6.0
ME | MI | OH,2,1,0,0.05885172149853799,0.05885172149853799,50.0,2.5
KY | VA | WA | WY,2,1,1,-0.0478485262082611,-0.0478485262082611,50.0,-2.0
AL | LA | NC | TX,2,1,0,0.21895845176575351,0.21895845176575351,100.0,8.5
NY | PA,2,1,1,0.07112031012624301,0.07112031012624301,50.0,2.5
IL | NJ | PA,2,1,0,0.6000141639602434,0.6000141639602434,100.0,22.5
AL | FL | SC | TX,2,1,1,0.14795002795549989,0.14795002795549989,100.0,5.5
CA | IL | NC,2,1,0,-0.08780774536079135,-0.08780774536079135,0.0,-3.5
AZ | CA | OH | OR,2,1,1,-0.01469072360644005,-0.01469072360644005,50.0,-0.5
CA | NC | VA,2,1,0,-0.0010953407223610497,-0.0010953407223610497,50.0,0.0
KY | MI,2,1,0,0.02239319736554225,0.02239319736554225,50.0,1.0
AL | AZ | IN | MS | OH | PA | TN,2,1,0,,,,6.5
AL | AZ | CA | GA | IN | NC | NE | NV | NY | OK | OR | TN | TX | UT | VA | WA,1,1,1,0.112191716858976,0.112191716858976,100.0,4.0
OK | TX,1,1,0,0.0554953565258727,0.0554953565258727,100.0,2.0
FL | MD | MI | OH | SC | TN | WV,1,1,1,0.127630114071465,0.127630114071465,100.0,5.0
NC | SC | TX,1,1,0,-0.0569978506647449,-0.0569978506647449,0.0,-2.0
CA | CO | FL | IL | KY | MI | MN | NY | OR | PA,1,1,1,,,,8.0
CA | FL | GA | IL | MI | MS | NC | NM | TX | WI,1,1,1,,,,23.0
MI | PA,1,1,0,0.0077146222995748,0.0077146222995748,100.0,0.0
MD | NY | VA,1,1,0,-0.390950027374339,-0.390950027374339,0.0,-15.0
FL | OH,1,1,0,0.993756540293579,0.993756540293579,100.0,34.0
CA | GA | IL | LA | MI | MO | ND | OH | PA | TX,1,1,0,-0.251943611941047,-0.251943611941047,0.0,-10.0
MA | NY | TN,1,1,1,0.551825640992102,0.551825640992102,100.0,21.0
CA | MI,1,1,0,0.219144425628919,0.219144425628919,100.0,9.0
CA | OH | SD,1,1,0,0.431203622031817,0.431203622031817,100.0,17.0
CA | OR | WA,1,1,0,,,,11.0
DE | NJ | PA,1,1,0,0.0205480031994452,0.0205480031994452,100.0,1.0
CA | FL | NY | WA,1,1,1,,,,-2.0
