topic,count
Literacy,5538
K to 12th Grade,5184
STEM,3613
Postsecondary,2918
High School Completion,2371
Social Emotional Learning And Behavior,2302
Early Childhood,895
SWD,765
Teachers And School Leaders,675
ELL,366
